--- TRIGGERED ---
0.805,0.321,0.480,2.075,2.808,2.502
0.791,0.313,0.472,2.930,1.709,0.977
0.776,0.306,0.463,3.296,1.221,0.732
0.768,0.306,0.463,3.296,0.854,1.587
0.765,0.304,0.458,2.991,0.854,3.784
0.769,0.312,0.454,2.441,1.221,5.615
0.769,0.316,0.455,1.892,1.282,6.042
0.776,0.322,0.465,1.404,1.953,6.104
0.786,0.328,0.474,1.160,1.953,5.859
0.789,0.333,0.483,1.587,1.953,4.211
0.790,0.330,0.485,2.686,1.587,2.991
Capture Finished. Ready for next fall.
--- TRIGGERED ---
0.216,0.823,0.814,95.825,-31.982,37.109
0.225,0.765,0.790,153.748,-48.767,56.580
0.349,0.534,0.699,217.468,-91.919,76.416
0.368,0.496,0.682,205.322,-100.708,67.383
0.348,0.456,0.656,181.213,-96.008,53.284
0.303,0.436,0.654,152.222,-82.458,39.307
0.177,0.487,0.775,105.530,-55.115,25.940
0.158,0.443,0.813,96.130,-48.218,31.677
0.190,0.436,0.742,95.947,-44.250,41.626
0.197,0.457,0.671,86.121,-40.283,44.617
0.191,0.462,0.658,50.659,-30.212,25.085
0.214,0.449,0.692,28.320,-26.550,13.000
0.229,0.453,0.709,10.376,-23.071,2.563
0.175,0.419,0.711,-2.502,-26.245,-2.258
0.123,0.434,0.813,-19.165,-33.875,0.977
0.170,0.438,0.850,-22.156,-41.931,2.747
0.180,0.435,0.849,-22.644,-48.828,6.897
0.176,0.437,0.832,-21.790,-55.664,19.653
-0.042,0.411,0.843,-25.757,-53.894,20.203
-0.282,0.443,1.213,-36.255,-48.706,19.409
-0.248,0.473,1.109,-19.531,-20.508,26.001
0.071,0.421,0.897,21.484,24.353,39.612
0.264,0.307,0.808,44.434,20.447,53.650
0.319,0.291,0.790,73.853,8.850,77.209
0.361,0.292,0.735,78.979,-6.165,87.097
0.039,0.180,0.645,76.416,-19.531,111.877
-0.145,0.152,0.639,75.195,-24.353,126.648
-0.147,0.195,0.673,57.129,-33.325,135.864
-0.132,0.264,0.719,39.246,-41.443,137.024
-0.134,0.431,0.800,47.791,-54.016,132.080
-0.151,0.497,0.878,63.232,-55.847,130.737
-0.213,0.494,0.918,70.862,-59.998,125.061
-0.229,0.464,0.945,85.388,-61.157,88.440
-0.194,0.466,0.930,94.421,-56.763,66.406
-0.154,0.450,0.919,105.042,-50.720,47.852
-0.059,0.400,0.941,117.432,-47.791,37.537
0.014,0.343,1.236,137.512,-70.557,56.030
-0.012,0.408,1.690,125.793,-90.820,72.327
-0.016,0.675,2.417,87.463,-101.685,79.956
0.062,1.081,3.324,26.489,-96.619,77.576
0.034,2.208,4.000,-76.477,-55.603,25.879
-1.448,-0.523,-4.000,56.396,70.251,119.263
-1.541,-0.174,-4.000,168.274,-121.643,80.200
-1.917,-0.281,-3.952,158.020,-314.270,24.109
-2.135,-0.351,-3.038,34.363,-461.792,-5.188
-2.474,-0.284,-1.093,-24.597,-507.935,-10.071
-3.020,-0.378,0.648,-59.326,-556.824,-3.845
-3.805,-0.338,2.588,-56.091,-627.686,38.269
-3.619,0.057,3.999,-67.139,-693.665,70.313
-2.740,1.069,4.000,-87.585,-632.996,110.046
